id,name,role,num_created_issues,num_solved_issues,type
14,normanmaurer,administrator,47,81,user
18,jpinner,administrator,2,1,user
21,veebs,administrator,1,2,user
15,trustin,administrator,90,90,user
28,ngocdaothanh,user,1,1,user
81,Andrei-Pozolotin,administrator,1,0,user
4787,benmccann,user,1,0,user
6169,AndrewBourgeois,user,1,0,user
68,slandelle,user,2,0,user
5902,davsclaus,user,1,0,user
4863,naude-r,user,1,0,user
1987,jongwook,user,1,0,user
97,lw346,administrator,1,0,user
3453,fguerout,user,1,0,user
1011,kyli,user,1,0,user
84,hepin1989,user,1,0,user
25,rshelley,user,1,0,user
6185,mkw,user,1,0,user
6140,deanhiller,user,1,0,user
1765,NorthFury,user,1,0,user
50,zcourts,user,1,0,user
2063,JatinderSingh,user,1,0,user
85,md-5,user,1,0,user
3826,safasofuoglu,user,1,0,user
2838,tom-adsfund,user,1,0,user
118,bk1te,user,1,0,user
6458,rockagen,user,1,0,user
1849,kimchy,user,2,0,user
6155,liqweed,user,1,0,user
16,daschl,administrator,1,0,user
954,carrot-garden,administrator,2,0,user
6192,ramn,user,1,0,user
98,BabyDuncan,user,1,0,user
92,jfallows,user,2,0,user
4409,martin-robo,user,1,0,user
12,fbettag,user,1,0,user
5036,CodeMason,user,2,0,user
4858,phansson,user,1,0,user
3522,rzorzorzo,user,1,0,user
6466,Lekanich,user,1,0,user
4807,osanha,user,1,0,user
20,trustin-notification,administrator,0,0,user
24,jestan,administrator,0,0,user
35,fredericBregier,administrator,0,0,user
933,spullara,administrator,0,0,user
2114,danbim,administrator,0,0,user
44,CruzBishop,administrator,0,0,user
1311,darionyaphet,administrator,0,0,user
33,mariusaeriksen,user,0,0,user
52,alepar,user,0,0,user
61,obergner,user,0,0,user
63,jeffgriffith,user,0,0,user
76,infynyxx,user,0,0,user
23,m0wfo,user,0,0,user
145,ssilverman,user,0,0,user
3,mkjellman,user,0,0,user
100,ymnk,user,0,0,user
102,d-t-w,user,0,0,user
104,gsoltis,user,0,0,user
152,dantran,user,0,0,user
481,menacher,user,0,0,user
947,bierbaum,user,0,0,user
1024,Amitunreal,user,0,0,user
1038,jyotiym,user,0,0,user
1059,ankurcha,user,0,0,user
1079,matlach,user,0,0,user
1112,jeje,user,0,0,user
1115,manuel-woelker,user,0,0,user
1280,jarod,user,0,0,user
1298,shacharo,user,0,0,user
2036,sskachkov,user,0,0,user
2060,tianyuanzhonglu,user,0,0,user
2439,cowtowncoder,user,0,0,user
2709,ghost,user,0,0,user
2837,shpikat,user,0,0,user
3148,doswell,user,0,0,user
3518,burtonator,user,0,0,user
3526,marchywka,user,0,0,user
3527,gloomybrain,user,0,0,user
3528,rcastillo,user,0,0,user
4044,fanweihua,user,0,0,user
4346,p1erz,user,0,0,user
4348,saepia,user,0,0,user
4864,ThE-MaRaC,user,0,0,user
4991,imysak,user,0,0,user
5935,timboudreau,user,0,0,user
5937,puppetMaster3,user,0,0,user
5938,charsyam,user,0,0,user
5946,arunxgeorgex09,user,0,0,user
5986,arwi-grape,user,0,0,user
6005,laczoka,user,0,0,user
6006,Tochemey,user,0,0,user
6167,diwakergupta,user,0,0,user
6353,oxtoacart,user,0,0,user
6441,ghristov,user,0,0,user
6545,caposguanatos,user,0,0,user
